SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
TB	 INH	 This survey evaluated INH resistant-associated mutations in order to determine rapid detection of TB resistance.	 INH resistant-associated mutations in order to determine rapid detection of TB	 may_prevent	yes
virus	 viruses	 These viruses show persistence in oysters, which suggests an active mechanism of virus concentration.	 viruses show persistence in oysters, which suggests an active mechanism of virus	 causative_agent_of	no
aspergillosis	 Aspergillus	 These findings point to the relevant immunological pathway involved in resistance to invasive aspergillosis and warrant further study of the effects of TLR and cytokine polymorphisms and their interaction, which may occur on different levels of the complex biological interplay between the immunocompromised host and Aspergillus sp .	aspergillosis  and warrant further study of the effects of TLR and cytokine polymorphisms and their interaction, which may occur on different levels of the complex biological interplay between the immunocompromised host and  Aspergillus	 causative_agent_of	no
hypoglycemia	 epinephrine	 During progressive hypoglycemia, these subjects demonstrated less epinephrine release ( P = 0.02) and greater driving impairments ( P = 0.03).	hypoglycemia , these subjects demonstrated less  epinephrine	 	no_rel
MRSA	 methicillin	 The largest MAR profile contained six antibiotics (penicillin G, methicillin, erythromycin, ciprofloxacin, clindamycin and clarithromycin) and was observed in the MRSA isolates in both the UK and Maltese cohorts.	 methicillin  erythromycin, ciprofloxacin, clindamycin and clarithromycin) and was observed in the MRSA	 	no_rel
acute HIV infection	 HIV	 Hemophagocytic lymphohistiocytosis (HLH) has been described in patients with advanced stages of human immunodeficiency virus (HIV) infection, but rarely occurs during the seroconversion stage of acute HIV infection.	 HIV  infection, but rarely occurs during the seroconversion stage of acute HIV infection	 causative_agent_of	no
cancer	 adjuvant	 The fluorinated pyrimidine 5-fluorouracil (5- fu ) is an anticancer agent used in most adjuvant and palliative treatment regimens for colorectal cancer.	 adjuvant and palliative treatment regimens for colorectal cancer	 	no_rel
malaria	 pyrimethamine	 These molecular markers indicate that pyrimethamine/sulfadoxine resistance is increasing and is now too high to rely on this drug as a routine therapeutic agent to treat malaria in travelers.	 pyrimethamine sulfadoxine resistance is increasing and is now too high to rely on this drug as a routine therapeutic agent to treat malaria	 may_prevent	yes
fibrosis	 retinoic acid	 Several reports indicate that retinoic acid positively affects the progression of fibrosis and alleviates the accumulation of the extracellular matrix, whereas other studies report the opposite; that retinoic acid exacerbates fibrosis and induces extracellular matrix accumulation.	 retinoic acid positively affects the progression of fibrosis and alleviates the accumulation of the extracellular matrix, whereas other studies report the opposite; that retinoic acid exacerbates fibrosis	 	no_rel
malnutrition	 albumin	 Then, the nutrition support team (NST) started intervention and estimated the patient's malnutrition from her body weight (30.1 kg), body mass index (BMI) (13.9), triceps skinfold thickness (TSF) (3.5 mm), arm circumference (AC) (17.2 cm) and serum albumin (2.6 g/dl).	malnutrition  from her body weight (30.1 kg), body mass index (BMI) (13.9), triceps skinfold thickness (TSF) (3.5 mm), arm circumference (AC) (17.2 cm) and serum  albumin	 	no_rel
methicillin resistant Staphylococcus aureus	 Staphylococcus aureus	 It was demonstrated that Persian shallot hydromethanolic extract was effective against 10 different species of pathogenic bacteria including methicillin resistant Staphylococcus aureus (MRSA), methicillin sensitive Staphylococcus aureus (MSSA), Staphylococcus aureus , Staphylococcus epidermidis , Streptococcus pneumoniae , Escherichia coli, Escherichia coli O157H7, Salmonella typhimurium, Proteus mirabilis , and Klebsiella pneumoniae .	methicillin resistant Staphylococcus aureus  (MRSA), methicillin sensitive Staphylococcus aureus (MSSA),  Staphylococcus aureus	 causative_agent_of	no
myelomas	 bortezomib	 The FDA-approved drug bortezomib (Velcade®) is a peptide boronate inhibitor of the 26S proteasome that is very efficient for the treatment of myelomas and other hematological tumors.	 bortezomib (Velcade®) is a peptide boronate inhibitor of the 26S proteasome that is very efficient for the treatment ofmyelomas	 may_treat	yes
amino acids	 rigidity	 An in-frame AE1 deletion of nine amino acids in the cytoplasmic domain in a proximity to the membrane domain results in a marked increase in membrane rigidity and ovalocytic red cells in the disease Southeast Asian Ovalocytosis (SAO).	amino acids  in the cytoplasmic domain in a proximity to the membrane domain results in a marked increase in membrane  rigidity	 	no_rel
asthma	 budesonide	 No significant differences were found between smoking and non-smoking subjects with mild asthma in regard to clinical changes in asthma control, pulmonary function and airway inflammation following a 2-month treatment period with budesonide or the association of budesonide and formoterol for a period of 2 months.	asthma  in regard to clinical changes in asthma control, pulmonary function and airway inflammation following a 2-month treatment period with  budesonide	 may_prevent	yes
AAA	 adalimumab	 An allotype mismatch between adalimumab and IgG in adalimumab-treated patients did not lead to a higher frequency of AAA.	 adalimumab treated patients did not lead to a higher frequency of AAA	 	no_rel
Staphylococcus aureus bacteraemia	 daptomycin	 In a prospective, randomized trial, daptomycin was non-inferior to standard therapy for Staphylococcus aureus bacteraemia and right-sided endocarditis.	 daptomycin was non-inferior to standard therapy for Staphylococcus aureus bacteraemia	 	no_rel
bacteremia	 bacteria	 Colorectal cancer (CRC) has long been associated with bacteremia and/or endocarditis by Streptococcus gallolyticus member bacteria (SGMB) but the direct colonization of SGMB along with its molecular carcinogenic role, if any, has not been investigated.	bacteremia  and/or endocarditis by Streptococcus gallolyticus member  bacteria	 causative_agent_of	no
obesity	 glucose	 Thirty-four children (25 males; median age 10.8 ± 3.4 yrs) with severe obesity (BMI >95%) were screened for diabetes with oral glucose tolerance test (OGTT), systemic inflammation with C-reactive protein (CRP) and gut inflammation with rectal nitric oxide (NO) and faecal calprotectin.	obesity y (BMI >95%) were screened for diabetes with oral glucose	 	no_rel
insulin	 type 2 diabetes	 Adults of African-Caribbean origin living in the UK have smaller increases in type 2 diabetes risk, raised circulating insulin and HDL-cholesterol, and low triglyceride and C-reactive protein concentrations.	 type 2 diabetes risk, raised circulating insulin	 	no_rel
neuroblastoma	 etoposide	 In our laboratory, we address still unsettled questions, which of mechanisms of action of DNA-damaging drugs both currently use for treatment of human neuroblastomas (doxorubicin, cis-platin, cyclophosphamide and etoposide) and another anticancer agent decreasing growth of neuroblastomas in vitro , ellipticine, are predominant mechanism(s) responsible for their antitumor action in neuroblastoma cell lines in vitro .	 etoposide  and another anticancer agent decreasing growth of neuroblastomas in vitro , ellipticine, are predominant mechanism(s) responsible for their antitumor action in neuroblastoma	 may_treat	yes
West Nile encephalitis	 WNV	 With naturally occurring susceptible and resistant sub-populations to lethal West Nile encephalitis, we undertook a case-control association study to investigate whether, similar to humans ( OAS1 ) and mice ( Oas1b ), equine OAS1 plays a role in resistance to severe WNV infection.	West Nile encephalitis , we undertook a case-control association study to investigate whether, similar to humans ( OAS1 ) and mice ( Oas1b ), equine OAS1 plays a role in resistance to severe  WNV	 causative_agent_of	no
trachoma	 Chlamydia trachomatis	 Chlamydia trachomatis causes diseases such as trachoma, urogenital infection and lymphogranuloma venereum with severe morbidity.	 Chlamydia trachomatis causes diseases such as trachoma	 causative_agent_of	no
AIDS	 HIV	 However, as of yet, there is no evidence on the criteria that should guide the priority setting of HIV/AIDS programmes in Thailand, including their relative importance.	 HIV AIDS	 causative_agent_of	no
statin	 Secondary	 Secondary outcomes include the proportion of new statin users who exhibit adherence ≥80%, and persistence with statin use.	 Secondary outcomes include the proportion of new statin users who exhibit adherence ≥80%, and persistence witstatin	 	no_rel
spotted fever	 Rickettsia	 In addition to previously described cases of Flinders Island spotted fever ( Rickettsia honei strain “marmionii”), we describe 1 case of Queensland tick typhus ( R. australis ) and 2 cases of scrub typhus caused by a unique strain ( Orientia tsutsugamushi ).	spotted fever  (  Rickettsia	 causative_agent_of	no
infarct	 melatonin	 There was no correlation between infarct size and the direction or amplitude of melatonin phase shifting.	infarct  size and the direction or amplitude of  melatonin	 	no_rel
AIDS	 HIV	 Family-based interventions with children who are affected by HIV and AIDS are not well established.	 HIV and AIDS	 causative_agent_of	no
hepatitis C antigens	 HCV	 Herein, the immune-mediated cell response to hepatitis C antigens was evaluated by adoptive transfers of carboxyfluorescein succinimidyl ester (CFSE) labelled splenocytes from HCV immunized mice into HCV transgenic mice.	hepatitis C antigens  was evaluated by adoptive transfers of carboxyfluorescein succinimidyl ester (CFSE) labelled splenocytes from  HCV	 causative_agent_of	no
marrow embolism	 fat	 Peripheral vasodilatory effects of the cement monomer, fat and marrow embolism and activation of the clotting cascade in the lungs, all contribute to cement reaction.	 fat and marrow embolism	 causative_agent_of	no
postmenopausal osteoporosis	 risedronate	 The oral bisphosphonate, risedronate - dosed as the US Food and Drug Administration approved for the treatment or prevention of postmenopausal osteoporosis - appears to mitigate bone loss associated with 2 years of adjuvant anastrozole in women with early-stage breast cancer.	 risedronate - dosed as the US Food and Drug Administration approved for the treatment or prevention of postmenopausal osteoporosis	 may_prevent	yes
interferons	 cancer	 Endogenously produced interferons can regulate the growth of melanoma cells and are administered exogenously as therapeutic agents to patients with advanced cancer.	interferons  can regulate the growth of melanoma cells and are administered exogenously as therapeutic agents to patients with advanced  cancer	 	no_rel
methamphetamine abuse	 methamphetamine	 Relapse rates following current methamphetamine abuse treatments are very high (∼40–60%), and the neuropsychiatric impairments ( e.g. , cognitive deficits, mood disorders) that arise and persist during remission from methamphetamine addiction likely contribute to these high relapse rates.	methamphetamine abuse  treatments are very high (∼40–60%), and the neuropsychiatric impairments ( e.g. , cognitive deficits, mood disorders) that arise and persist during remission f methamphetamine	 causative_agent_of	no
chicken pox	 VZV	 The Varicella Zoster Virus (VZV) is a ubiquitous human alpha-herpesvirus that is the causative agent of chicken pox and shingles.	 VZV  is a ubiquitous human alpha-herpesvirus that is the causative agent of chicken pox	 may_prevent	yes
HIV disease	 HIV	 Interestingly, vitamin D status before the start of highly active antiretroviral therapy (HAART) has been recently associated with HIV disease progression and overall mortality in HIV-positive pregnant women.	HIV disease  progression and overall mortality in  HIV	 causative_agent_of	no
uncoordinated	 manganese	 Two delocalized carboxyl­ate groups are each connected in a monodentate fashion to two similar penta­aqua­manganese units, whereas the other two localized carboxyl­ate groups are uncoordinated.	 manganese se units, whereas the other two localized carboxyl­ate groups uncoordinated	 	no_rel
obese	 triglycerides	 Decreased CAV-1 gene expression was simultaneously linked to increased triglycerides and decreased lipogenic gene expression among obese subjects, paralleling the observations of hypertriglyceridemia in CAV-1 knockout mice.	 triglycerides and decreased lipogenic gene expression among obese	 	no_rel
mycosis	 fungi	 Posaconazole is the only azole with activity against zygomycetes and other difficult-to-treat fungi, representing a potential treatment option for refractory invasive mycosis.	 fungi  representing a potential treatment option for refractory invasive mycosis	 causative_agent_of	no
Vaccinia	 VV	 The use of selectable markers ( ecogpt ) and selection pressures to aid in detection of poxvirus (Vaccinia, VV) recombinants has been implicated in the unintended introduction of second site mutations.	Vaccinia ,  VV	 causative_agent_of	no
SARS	 coronavirus	 It allows us to show that the SARS-CoV is most closely related to a coronavirus from the palm civet not from a bird as initially suspected, and the newly discovered human coronavirus HCoV-HKU1 is more closely related to SARS than to any other known member of group 2 coronavirus.	 coronavirus from the palm civet not from a bird as initially suspected, and the newly discovered human coronavirus HCoV-HKU1 is more closely related to SARS	 causative_agent_of	no
hypothyroid	 levothyroxine	 However, approximately 10% of hypothyroid patients are dissatisfied with the outcome of levothyroxine monotherapy, and physicians continue to report benefits from combined levothyroxine-triidothyronine therapy for some hypothyroid patients.	hypothyroid  patients are dissatisfied with the outcome of levothyroxine monotherapy, and physicians continue to report benefits from combined  levothyroxine	 may_prevent	yes
MSA	 parkinsonism	 Multiple system atrophy (MSA) is a rare neurodegenerative disease of undetermined cause manifesting with progressive autonomic failure (AF), cerebellar ataxia and parkinsonism due to neuronal loss in multiple brain areas associated with (oligodendro)glial cytoplasmic α-synuclein (αSYN) inclusions (GCIs).	MSA ) is a rare neurodegenerative disease of undetermined cause manifesting with progressive autonomic failure (AF), cerebellar ataxia and  parkinsonism	 	no_rel
bleeding	 clopidogrel	 While clopidogrel may be of little beneficial effect if administered immediately prior to PCI and may even increase major bleeding risk if coronary artery bypass grafting is anticipated, early discontinuation of the drug may result in insufficient antiplatelet coverage with thrombotic complications.	 clopidogrel may be of little beneficial effect if administered immediately prior to PCI and may even increase major bleeding	 contraindicated_with_disease	no
chronic hepatitis C	 HCV	 Here, we present a bioinformatic analysis of HCV-1a populations isolated from 23 children with chronic hepatitis C (CHC) subjected to interferon–ribavirin therapy.	 HCV 1a populations isolated from 23 children with chronic hepatitis C	 causative_agent_of	no
Evans	 nm	 Evans blue dye (EB) elicits a violet fluorescence by excitation at 345-nm and emission at 420-nm, and a reddish-brown fluorescence by excitation at 470-nm and emission at 515-nm characteristic of oxLDL only.	Evans  blue dye (EB) elicits a violet fluorescence by excitation at 345-nm and emission at 420-nm, and a reddish-brown fluorescence by excitation at 470- nm	 	no_rel
nephropathy	 statin	 Pearson correlation analysis demonstrated a positive correlation of MGI with transplant duration before coronary angiography and chronic allograft nephropathy, whereas an inverse correlation was demonstrated with ejection fraction and statin use.	nephropathy , whereas an inverse correlation was demonstrated with ejection fraction and  statin	 	no_rel
flush	 niacin	 This study compared the niacin flush response in subjects from families with only one member affected with schizophrenia (simplex families) with those from families having a sib-pair with schizophrenia (multiplex families).	 niacin flush	 induces	no
shingles	 VZV	 Although an attenuated VZV vaccine (v-Oka) has been widely used in children in the United States, chicken pox outbreaks are still seen, and the shingles vaccine only reduces the risk of shingles by 50%.	 VZV vaccine (v-Oka) has been widely used in children in the United States, chicken pox outbreaks are still seen, and the shingles vaccine only reduces the risk of shingles	 causative_agent_of	no
chronic hepatitis C	 interferon	 Treatment of chronic hepatitis C (CHC) with pegylated interferon α (pegIFNα) and ribavirin results in a sustained response in approximately half of patients.	chronic hepatitis C  (CHC) with pegylated  interferon	 may_treat	yes
Lyme neuroborreliosis	 Borrelia burgdorferi	 Lyme neuroborreliosis or “neurological Lyme disease” was evidenced in 2 of 23 patients submitted to strict criteria for case selection of the Centers for Disease Control and Prevention employing a two-tier test to detect antibodies to Borrelia burgdorferi at a single institution.	Lyme neuroborreliosis  or “neurological Lyme disease” was evidenced in 2 of 23 patients submitted to strict criteria for case selection of the Centers for Disease Control and Prevention employing a two-tier test to detect antibodies Borrelia burgdorferi	 causative_agent_of	no
chronic hepatitis B	 hepatitis B virus	 Adefovir is an adenosine analogue approved by the Food and Drug Administration for the treatment of chronic hepatitis B. Mutations occurring in the hepatitis B virus (HBV) reverse transcriptase (rt) domains are shown to confer resistance to antiviral drugs.	chronic hepatitis B . Mutations occurring in the  hepatitis B virus	 causative_agent_of	no
pain	 oxymorphone	 Oral oxymorphone is a new formulation of an existing parenteral opioid that has become available for the treatment of significant pain acute postoperative, chronic arthritis, chronic low back, and chronic cancer pain.	 oxymorphone is a new formulation of an existing parenteral opioid that has become available for the treatment of significant pain acute postoperative, chronic arthritis, chronic low back, and chronic cancer ppain	 may_treat	yes
ADHD	 atomoxetine	 The primary aims are to examine the efficacy of atomoxetine for improving cognition and emotional function in ADHD and whether any improvements in these outcomes are more pronounced in participants with comorbid anxiety; and to determine if changes in these outcomes after atomoxetine are more reliable than changes in diagnostic symptoms of ADHD.	ADHD  and whether any improvements in these outcomes are more pronounced in participants with comorbid anxiety; and to determine if changes in these outcomes after  atomoxetine	 may_treat	yes
chronic hepatitis C infection	 interferon alpha-2b	 The aim of this study was to evaluate the effectiveness of monotherapy with interferon alpha-2b and combination therapy with interferon alpha-2b plus ribavirin on chronic hepatitis C infection in thalassaemic patients.	 interferon alpha-2b plus ribavirin on chronic hepatitis C infection	 may_treat	yes
virus	 viruses	 HIV viruses encode a set of accessory proteins, which are important determinants of virulence due to their ability to manipulate the host cell physiology for the benefit of the virus.	 viruses encode a set of accessory proteins, which are important determinants of virulence due to their ability to manipulate the host cell physiology for the benefit of the virus	 causative_agent_of	no
TB	 Mtb	 In this study we show that the T-cell response to a recombinant and methylated HBHA of Mtb produced in M. smegmatis is useful to discriminate between active and non-active TB disease among those responsive to QFT-IT in a whole blood system.	 Mtb produced in M. smegmatis is useful to discriminate between active and non-active TB	 causative_agent_of	no
epilepsy	 vigabatrin	 While seizures are usually intractable to medication in tuberous sclerosis complex (TSC), a common genetic cause of epilepsy, vigabatrin appears to have unique efficacy for epilepsy in TSC.	epilepsy ,  vigabatrin	 may_treat	yes
schizophrenia	 antipsychotic	 Future randomised studies are needed to assess the impact of antipsychotic polypharmacy in schizophrenia.	 antipsychotic polypharmacy in schizophrenia	 	no_rel
problem drinking	 alcohol	 Multiple logistic regression models were used to determine risk factors for psychosocial stress, demoralization, tobacco consumption (≹ 10 items/day), high-risk alcohol consumption (men > 20 g pure alcohol/day, women > 10 g pure alcohol/day), binge drinking, problem drinking according to CAGE and regular medical drug intake (at least weekly).	 alcohol l/day), binge drinkingproblem drinking	 causative_agent_of	no
enzymopathy	 enzyme	 Glucose-6-Phosphate dehydrogenase (G6PD) is a key enzyme of the pentose monophosphate pathway, and its deficiency is the most common inherited enzymopathy worldwide.	 enzyme of the pentose monophosphate pathway, and its deficiency is the most common inherited enzymopathy	 	no_rel
renal cell carcinoma	 tyrosine	 With the recent approval of pazopanib, an oral multitargeted tyrosine kinase inhibitor which potently targets vascular endothelial growth factor receptors 1–3, platelet-derived growth factor, and c-kit, six agents are now available for use in the management of metastatic renal cell carcinoma (RCC).	 tyrosine kinase inhibitor which potently targets vascular endothelial growth factor receptors 1–3, platelet-derived growth factor, and c-kit, six agents are now available for use in the management of metastatirenal cell carcinoma	 	no_rel
TB	 M. tuberculosis	 Mycobacterium tuberculosis is the principal etiologic agent of human tuberculosis (TB) and a member of the M. tuberculosis complex (MTC).	TB ) and a member of the  M. tuberculosis	 causative_agent_of	no
infectious mononucleosis	 EBV	 Of 201 cadets infected with EBV over 4 yr only 26.4% were manifested by heterophile positive clinical infectious mononucleosis.	 EBV over 4 yr only 26.4% were manifested by heterophile positive clinical infectious mononucleosis	 causative_agent_of	no
familial Mediterranean fever	 colchicine	 In the present study we determined the serum levels of apoptotic marker, Annexin A5, in familial Mediterranean fever patients, within an attack and attack-free, in comparison to healthy subjects and assessed the influence of colchicine treatment on this parameter.	familial Mediterranean fever  patients, within an attack and attack-free, in comparison to healthy subjects and assessed the influence of  colchicine	 may_treat	yes
gonorrhoea	 ceftriaxone	 Based on this study, ceftriaxone, cefixime, and spectinomycin can be used as an empirical first-line therapy for gonorrhoea in India, Pakistan, and Bhutan, whereas ciprofloxacin, penicillin G, tetracycline, erythromycin, and azithromycin should not be.	 ceftriaxone  cefixime, and spectinomycin can be used as an empirical first-line therapy for gonorrhoea	 may_treat	yes
excess iron	 iron	 Internalized iron is transported to mitochondria for the synthesis of haem or iron–sulfur clusters, which are integral parts of several metalloproteins, and excess iron is stored and detoxified in cytosolic ferritin.	 iron ��sulfur clusters, which are integral parts of several metalloproteins, anexcess iron	 causative_agent_of	no
insulin	 insulin resistance	 Delayed insulin secretion results in higher peak glucose concentrations particularly when suppression of glucagon is impaired, whereas insulin resistance prolongs the duration of hyperglycemia, which can be marked when both hepatic and extra-hepatic insulin resistance are present.	insulin  secretion results in higher peak glucose concentrations particularly when suppression of glucagon is impaired, whereas  insulin resistance	 	no_rel
H5N1	 influenza virus	 Although sampling of healthy wild birds representing a large number of species has not identified possible carriers of influenza virus (H5N1) into Europe, surveillance of dead and sick birds has demonstrated mute ( Cygnus olor ) and whooper ( C. cygnus) swans as potential sentinels.	 influenza virus (H5N1	 causative_agent_of	no
malaria	 pyrimethamine	 Intermittent preventive treatment of malaria with sulphadoxine-pyrimethamine (SP) is recommended for the prevention of malaria in pregnancy in sub-Saharan Africa.	malaria  with sulphadoxine- pyrimethamine	 may_prevent	yes
HBV	 hepatitis B virus	 Persistence of hepatitis B virus (HBV) infection requires covalently closed circular (ccc)DNA formation and amplification, which can occur via intracellular recycling of the viral polymerase-linked relaxed circular (rc) DNA genomes present in virions.	 hepatitis B virus (HBV	 causative_agent_of	no
vomiting	 ondansetron	 To compare the effectiveness of ondansetron and prochlorperazine to treat vomiting.	 ondansetron and prochlorperazine to treat vomiting	 may_prevent	yes
tumor	 CA	 She achieved a rather dramatic improvement of pain control, a significant biochemical response with 75% reduction of the CA-125 antigen level, but only limited radiographic tumor regression.	 CA 125 antigen level, but only limited radiographic tumor	 	no_rel
PGE2	 UC	 The possible molecular mechanism mediating this immunosuppressive effect of UC-MSCs was explored by addition of inhibitors to indoleamine 2,3-dioxygenase (IDO), Nitric oxide (NO), prostaglandin E2 (PGE2), transforming growth factor β1 (TGF-β1) and interleukin 10 (IL-10).	 UC MSCs was explored by addition of inhibitors to indoleamine 2,3-dioxygenase (IDO), Nitric oxide (NO), prostaglandin E2 (PGE2	 	no_rel
virus	 viruses	 Using plant viruses to produce desirable proteins in plants allows for using non-transgenic plant hosts and if necessary, the ability to make rapid changes in the virus construct for increased or modified protein product yields.	 viruses to produce desirable proteins in plants allows for using non-transgenic plant hosts and if necessary, the ability to make rapid changes in the virus	 causative_agent_of	no
caries	 Fluoride	 Fluoride release/recharge properties of fissure sealants are important for their long-term inhibition of caries.	 Fluoride release/recharge properties of fissure sealants are important for their long-term inhibition of caries	 may_prevent	yes
hypovitaminosis D	 vitamin D	 in 20 SLE patients with hypovitaminosis D. Serum 25(OH)D levels dramatically increased under vitamin D supplementation from 18.7±6.7 at day 0 to 51.4±14.1 (p<0.001) at 2 months and 41.5±10.1 ng/mL (p<0.001) at 6 months.	hypovitaminosis D . Serum 25(OH)D levels dramatically increased under  vitamin D	 may_treat	yes
osteoporosis	 vitamin D	 Potential confounders controlled included age, gender, family history of osteoporosis, physical activity, smoking, calcium intake, vitamin D status, estrogen status, medications, renal function, urine creatinine, body mass index, and change of body mass index.	osteoporosis  physical activity, smoking, calcium intake, v vitamin D	 may_prevent	yes
swelling	 prednisolone	 As a result of the treatment with 30mg prednisolone, the swelling of the LNs decreased, but the patient continued to have persistent hematoproteinuria.	 prednisolone  the swelling	 may_treat	yes
TTX	 pain	 More recently, the TTX-resistant sodium channels have been discovered in the nervous system and received much attention because of their role in pain sensation.	TTX -resistant sodium channels have been discovered in the nervous system and received much attention because of their role in  pain	 	no_rel
Evans	 nm	 Evans blue dye (EB) elicits a violet fluorescence by excitation at 345-nm and emission at 420-nm, and a reddish-brown fluorescence by excitation at 470-nm and emission at 515-nm characteristic of oxLDL only.	Evans  blue dye (EB) elicits a violet fluorescence by excitation at 345-nm and emission at 420- nm	 	no_rel
tuberculosis	 BCG	 Vaccination with Mycobacterium bovis bacille Calmette-Guérin (BCG) is widely used to reduce the risk of childhood tuberculosis and has been reported to have efficacy against two other mycobacterial diseases, leprosy and Buruli ulcer caused by M. ulcerans ( Mu ).	 BCG ) is widely used to reduce the risk of childhoodtuberculosis	 contraindicated_with_disease	no
diabetic retinopathy	 diabetes mellitus	 A better understanding of immunomodulatory effects of pregnancy on diabetic retinopathy pave the way for further investigations of the mechanism of its pathogenesis and could be essential for novel approaches to the treatment of this serious sight threatening complication of diabetes mellitus.	diabetic retinopathy  pave the way for further investigations of the mechanism of its pathogenesis and could be essential for novel approaches to the treatment of this serious sight threatening complication of  diabetes mellitus	 cause_of	no
vehicle	 PTSD	 This study aimed to examine the hypothesis that some factors of PTG, such as personal strength, relate to resilience, whereas other factors, such as appreciation of life, relate to PTSD symptoms among Japanese motor vehicle accident (MVA) survivors.	 PTSD symptoms among Japanese motor vehicle	 	no_rel
prostaglandins	 inflammation	 Compelling data demonstrate that inflammation-associated anorexia directly results from the action of pro-inflammatory factors, primarily cytokines and prostaglandins E2, on the nervous system.	 inflammation associated anorexia directly results from the action of pro-inflammatory factors, primarily cytokines and prostaglandins	 	no_rel
ADHD	 methylphenidate	 The Health Improvement Network (THIN) database was used to identify patients with ADHD who received their first prescription for methylphenidate/ dexamfetamine/atomoxetine, aged 6–17 years.	ADHD  who received their first prescription for  methylphenidate	 may_treat	yes
schizophrenia	 risperidone	 Seventeen outpatients with schizophrenia (9 taking aripiprazole and 8 taking risperidone) and 18 healthy controls underwent 18F-fluoroflumazenil PET, and GABAA receptor binding potential was compared between the three groups.	schizophrenia  (9 taking aripiprazole and 8 taking  risperidone	 may_treat	yes
adiposity	 statin	 Changes in adiposity and glucose control with ILI remained independent predictors of hs-CRP change at 1 year ( P < 0.0001 for each) after adjustment for demographics, smoking, cardiovascular history, statin and thiazolidinedione use, and changes in fitness and lipid control.	adiposity  and glucose control with ILI remained independent predictors of hs-CRP change at 1 year ( P < 0.0001 for each) after adjustment for demographics, smoking, cardiovascular history,  statin	 	no_rel
seizures	 lamotrigine	 The immediate-release formulation of lamotrigine (LTG-IR) has been approved for primary generalized tonic-clonic seizures since 2006.	 lamotrigine (LTG-IR) has been approved for primary generalized tonic-clonic seizures	 may_treat	yes
cancer	 Pap	 Nationally, 32.0% (95% confidence interval [CI] = 30.3% to 33.6%) of girls aged 13 to 17 years in 2010 had received three doses of the HPV vaccine, and coverage was statistically significantly lower among the uninsured (14.1%, 95% CI = 9.4% to 20.6%) and in some Southern states (eg, 20.0% in Alabama [95% CI = 13.9% to 27.9%] and Mississippi [95% CI = 13.8% to 28.2%]), where cervical cancer rates were highest and recent Pap testing prevalence was the lowest.	cancer  rates were highest and recent  Pap	 	no_rel
celiac	 gluten	 Attractive and novel forms of therapy include strategies to eliminate detrimental gluten peptides from the celiac diet so that the immunogenic effect of the gluten epitopes can be neutralized, as well as strategies to block the gluten-induced inflammatory response.	celiac  diet so that the immunogenic effect of the gluten epitopes can be neutralized, as well as strategies to block the  gluten	 causative_agent_of	no
fat	 fibrosis	 In oWAT, fibrosis could contribute to limit adipocyte hypertrophy and is associated with a better lipid profile, whereas scWAT fibrosis may hamper fat mass loss induced by surgery.	 fibrosis could contribute to limit adipocyte hypertrophy and is associated with a better lipid profile, whereas scWAT fibrosis may hamper fat	 	no_rel
antiviral	 chronic hepatitis B	 The authors assessed the efficacy and antiviral resistance of 48-week clevudine therapy versus lamivudine in treatment of naïve patients with HBeAg positive chronic hepatitis B.	antiviral  resistance of 48-week clevudine therapy versus lamivudine in treatment of naïve patients with HBeAg positive chronic hepatitis B	 	no_rel
AIDS	 HIV	 Group discussions and semistructured interviews were conducted with 40 lay counselors, 57 directly observed therapy (DOT) supporters, and 13 TB and HIV/acquired immune deficiency syndrome (AIDS) program managers in the Free State Province between September 2007 and March 2008.	 HIV acquired immune deficiency syndrome (AIDS	 causative_agent_of	no
sugars	 caries	 Today's science has demonstrated that caries is caused by indigenous oral microorganisms becoming a dynamic biofilm, that in the presence of fermentable sugars produce organic acids capable of dissolving inorganic enamel and dentin followed by the proteolytic destruction of collagen leaving soft infected dentin.	 caries is caused by indigenous oral microorganisms becoming a dynamic biofilm, that in the presence of fermentable sugars	 	no_rel
fat	 obese	 RESEARCH DESIGN AND METHODS— ATMs from lean and obese (high-fat diet–fed) C57Bl/6 mice were analyzed by a combination of flow cytometry, immunofluorescence, and expression analysis for M2a and M1 genes.	 obese e (higfat	 	no_rel
type 1 diabetes	 insulin	 Whether glutamine may enhance insulin sensitivity postexercise requires further study in type 1 diabetes.	 insulin sensitivity postexercise requires further study in type 1 diabetes	 may_treat	yes
nitric oxide	 GLA	 GLA significantly inhibited LPS-induced production of nitric oxide and reversed the morphological changes in primary microglia.	 GLA significantly inhibited LPS-induced production of nitric oxide	 	no_rel
insecticide	 malaria	 Vector control relies on the use of insecticide chemicals to significantly reduce the number of malaria vectors by targeting that portion of the female population that takes blood meals and subsequently rests indoors.	insecticide  chemicals to significantly reduce the number of  malaria	 	no_rel
tuberculosis	 Mycobacterium tuberculosis	 This study was undertaken to investigate the biochemical and physiological characteristics of Obg in Mycobacterium tuberculosis , which causes tuberculosis in humans.	 Mycobacterium tuberculosis , which causes tuberculosis	 causative_agent_of	no
